,class,language,question
457,ORGANIZATION,es,¿Cuáles son las siglas de la Compañía Suiza de Ferrocarriles?
458,ORGANIZATION,nl,Wat is de afkorting voor de vakband van Zwitserse spoorwegmedewerkers?
459,ORGANIZATION,en,Which abbreviation stands for the Swiss Railwaymen's Union?
460,LOCATION,it,Di quale nazione è presidente Eltsin?
461,LOCATION,es,¿De qué país es presidente Yeltsin?
462,LOCATION,nl,Van welk land is Jeltsin president?
463,LOCATION,en,What country is Yeltsin president of?
464,ORGANIZATION,it,Cosa significa la sigla ONU?
465,ORGANIZATION,es,¿Qué significa el acrónimo ONU?
466,ORGANIZATION,nl,Waar staat de afkorting VN voor?
467,ORGANIZATION,en,What does the abbreviation UN stand for?
468,PERSON,it,Qual è il nome di battesimo di Milosevic?
469,PERSON,es,¿Cuál es el nombre de pila de Milosevic?
470,PERSON,nl,Wat is de voornaam van Milosevic?
471,PERSON,en,What is Milosevic's first name?
472,DATE,it,In che anno è stato abbattuto il Muro di Berlino?
473,DATE,es,¿En qué año se derribó el muro de Berlín?
474,DATE,nl,In welk jaar viel de Berlijnse Muur?
475,DATE,en,In which year was the Berlin Wall torn down?
476,DATE,it,Quando è iniziata la Rivoluzione Francese?
477,DATE,es,¿Cuándo comenzó la Revolución Francesa?
478,DATE,nl,Wanneer begon de Franse Revolutie?
479,DATE,en,When did the French Revolution start?
480,LOCATION,it,Qual è la capitale d'Irlanda?
481,LOCATION,es,¿Cuál es la capital de Irlanda?
482,LOCATION,nl,Wat is de hoofdstad van Ierland?
483,LOCATION,en,What is the capital of Ireland?
484,LOCATION,it,"Qual è la città santa per ebrei, cristiani e musulmani?"
485,LOCATION,es,"¿Cuál es la ciudad santa para judíos, cristianos y musulmanes?"
486,LOCATION,nl,"Wat is de heilige stad voor joden, christenen en moslims?"
487,LOCATION,en,"Which is the Holy City for Jews, Christians and Muslims?"
488,PERSON,it,Chi è l'allenatore della nazionale di calcio norvegese?
489,PERSON,es,¿Quién es el entrenador del equipo nacional de fútbol noruego?
490,PERSON,nl,Wie is de Noorse bondscoach?
491,PERSON,en,Who is the coach of the Norwegian national football team?
492,MEASURE,it,Quanto è costato l'Eurotunnel?
493,MEASURE,es,¿Cuánto costó el Eurotúnel?
494,MEASURE,nl,Hoeveel heeft de Eurotunnel gekost?
495,MEASURE,en,How much did the Eurotunnel cost?
496,MEASURE,it,Quanto è lungo l'Eurotunnel?
497,MEASURE,es,¿Qué longitud tiene el Eurotúnel?
498,MEASURE,nl,Wat is de lengte van de Eurotunnel?
499,MEASURE,en,How long is the Eurotunnel?
500,MEASURE,it,Quante furono le persone massacrate alle Fosse Ardeatine?
501,MEASURE,es,¿Cuántas personas fueron masacradas en las Fosas Ardeatinas?
502,MEASURE,nl,Hoeveel mensen werden doodgeschoten in de Fosse Ardeatine?
503,MEASURE,en,How many people were massacred at the Fosse Ardeatine?
504,OTHER,it,Quale film ha vinto il Leone d'Oro?
505,OTHER,es,¿Qué película ganó el León de Oro?
506,OTHER,nl,Welke film won de Gouden Leeuw?
507,OTHER,en,Which movie won the Golden Lion?
508,PERSON,it,A chi è stato assegnato il Leone d'Oro alla carriera?
509,PERSON,es,¿Quién fue premiado con el León de Oro a toda su carrera?
510,PERSON,nl,Aan wie zijn de Gouden Leeuw oeuvreprijzen toegekend?
511,PERSON,en,Who was awarded the Golden Lion for career achievement?
512,MEASURE,it,Quanti pianeti ci sono nel Sistema Solare?
513,MEASURE,es,¿Cuántos planetas hay en el Sistema Solar?
514,MEASURE,nl,Hoeveel planeten zijn er in het zonnestelsel?
515,MEASURE,en,How many planets are there in the Solar System?
516,MEASURE,it,Quale temperatura c'è sul Sole?
517,MEASURE,es,¿Qué temperatura hay en la superficie del sol?
518,MEASURE,nl,Wat is de temperatuur op de oppervlakte van de zon?
519,MEASURE,en,What temperature is the surface of the Sun?
520,PERSON,it,Qual è il nome del primo uomo che arrivò sulla Luna?
521,PERSON,es,¿Cómo se llama el primer hombre que pisó la Luna?
522,PERSON,nl,Hoe heet de eerste man op de maan?
523,PERSON,en,What is the name of the first man who landed on the Moon?
524,DATE,it,Quando è nato il Gruppo Islamico Armato?
525,DATE,es,¿Cuándo se creó el Grupo Armado Islámico?
526,DATE,nl,Wanneer is de Gewapende Islamitische Groep opgericht?
527,DATE,en,When was the Armed Islamic Group established?
528,MEASURE,it,Quanti dipendenti ha l'Air France?
529,MEASURE,es,¿Cuántos empleados tiene Air France?
530,MEASURE,nl,Hoeveel werknmers heeft Air France?
531,MEASURE,en,How many employees does Air France have?
532,MEASURE,it,Quanti abitanti ha Algeri?
533,MEASURE,es,¿Cuántos habitantes tiene Argel?
534,MEASURE,nl,Hoeveel inwoners heeft Algiers?
535,MEASURE,en,How many inhabitants are there in Algiers?
536,LOCATION,it,Quale stato ha come capitale Algeri?
537,LOCATION,es,¿De qué país es capital Argel?
538,LOCATION,nl,Algiers is de hoofdstad van welk land?
539,LOCATION,en,Of which country is Algiers the capital?
540,ORGANIZATION,it,Chi ha vinto lo scudetto?
541,ORGANIZATION,es,¿Qué equipo de fútbol ha ganado la liga italiana?
542,ORGANIZATION,nl,Welke voetbalploeg is kampioen van Italië?
543,ORGANIZATION,en,Which football team won the Italian national championship?
544,PERSON,it,Chi è il presidente della Roma?
545,PERSON,es,¿Quién es el presidente del equipo de futbol de la Roma?
546,PERSON,nl,Wie is de voorzitter van de voetbalploeg Roma?
547,PERSON,en,Who is the President of the Roma football team?
548,LOCATION,it,In quale città si trova lo stadio Delle Alpi?
549,LOCATION,es,¿En qué ciudad está el estadio Delle Alpi?
550,LOCATION,nl,In welke stad is het Delle Alpi-stadion?
551,LOCATION,en,In which city is the Delle Alpi stadium?
552,PERSON,it,Come si chiama il primo ministro francese?
553,PERSON,es,¿Cómo se llama el primer ministro francés?
554,PERSON,nl,Hoe heet de Franse premier?
555,PERSON,en,What is the name of the French Prime Minister?
556,ORGANIZATION,it,In che partito milita Silvio Berlusconi?
557,ORGANIZATION,es,¿A qué partido pertenece Silvio Berlusconi?
558,ORGANIZATION,nl,Bij welke politieke partij hoort Silvio Berlusconi?
559,ORGANIZATION,en,What party is Silvio Berlusconi in?
560,ORGANIZATION,it,In che partito milita Fassino?
561,ORGANIZATION,es,¿A qué partido pertenece Fassino?
562,ORGANIZATION,nl,Bij welke politieke partij hoort Fassino?
563,ORGANIZATION,en,What party is Fassino in?
564,PERSON,it,Chi è la moglie di John Lennon?
565,PERSON,es,¿Quién es la mujer de John Lennon?
566,PERSON,nl,Wie is de vrouw van John Lennon?
567,PERSON,en,Who is John Lennon's wife?
568,PERSON,it,A chi è andata la Coppa Volpi per la miglior interpretazione maschile?
569,PERSON,es,¿Quién fue premiado con la Copa Volpi al mejor actor?
570,PERSON,nl,Aan wie werd Coppa Volpi voor de beste mannelijke hoofdrol toegekend?
571,PERSON,en,Who was awarded the Coppa Volpi for the best male performance?
572,DATE,it,In che mese è stato inaugurato l'Eurotunnel?
573,DATE,es,¿En qué mes se inauguró el Eurotúnel?
574,DATE,nl,In welke maand werd de Eurotunnel in gebruik genomen?
575,DATE,en,In which month was the Eurotunnel inaugurated?
576,MEASURE,it,Quanti tipi di squali esistono?
577,MEASURE,es,¿Cuántos tipos the tiburones hay?
578,MEASURE,nl,Hoeveel soorten haaien zijn er?
579,MEASURE,en,How many kinds of sharks are there?
580,MEASURE,it,Quante squadre giocano nel campionato di calcio italiano?
581,MEASURE,es,¿Cuántos clubes de fútbol juegan en la liga italiana?
582,MEASURE,nl,Hoeveel voetbalteams doen mee aan het Italiaanse kampioenschap?
583,MEASURE,en,How many football teams play in the Italian championship?
584,PERSON,it,Come si chiama il Presidente del Consiglio italiano?
585,PERSON,es,¿Cómo se llama el primer ministro italiano?
586,PERSON,nl,Hoe heet de Italiaanse premier?
587,PERSON,en,What is the name of the Italian Prime Minister?
588,OTHER,it,"Qual è il titolo della canzone inedita di John Lennon registrata da Paul McCartney, George Harrison e Ringo Star?"
589,OTHER,es,"¿Cúal es el título de la canción inédita de John Lennon grabada por Paul McCartney, George Harrison y Ringo Star?"
590,OTHER,nl,"Hoe heet het nooit gepubliceerde nummer van John Lennon dat door Paul McCartney, George Harrison and Ringo Starr is opgenomen?"
591,OTHER,en,"What is the name of the unpublished John Lennon song recorded by Paul McCartney, George Harrison and Ringo Star?"
592,PERSON,it,Chi è il fondatore del gruppo Beatles?
593,PERSON,es,¿Quién es el fundador de los Beatles?
594,PERSON,nl,Wie heeft de Beatles opgericht?
595,PERSON,en,Who is the Beatles' founder?
596,PERSON,it,Chi è il terrorista internazionale più famoso?
597,PERSON,es,¿Quién es el terrorista internacional más buscado?
598,PERSON,nl,Wie is de bekendste internationale terrorist?
599,PERSON,en,Who is the most famous international terrorist?
600,LOCATION,es,¿En qué ciudad está la puerta de Brandeburgo?
601,LOCATION,it,In quale città si trova la Porta di Brandeburgo?
602,LOCATION,nl,In welke stad is de Brandenburger Tor?
603,LOCATION,en,What city is the Brandenburg Gate in?
604,PERSON,es,¿Qué primer ministro francés se suicidó en los años 90?
605,PERSON,it,Quale primo ministro francese si suicidò negli anni 90?
606,PERSON,nl,Welke Franse permier pleegde zelfmoord in de jaren 90?
607,PERSON,en,What French prime minister committed suicide in the 90s?
608,LOCATION,es,¿Cuál es la capital de Turkmenistán?
609,LOCATION,it,Qual è la capitale del Turkmenistan?
610,LOCATION,nl,Wat is de Turkmeense hoofdstad?
611,LOCATION,en,What is the capital of Turkmenistan?
612,LOCATION,es,¿Dónde se celebró la Conferencia Mundial de Población?
613,LOCATION,it,Dove si è svolta la Conferenza Mondiale sulla Popolazione?
614,LOCATION,nl,In welke stad werd de Internationale Conferentie over Bevolking en Ontwikkeling gehouden?
615,LOCATION,en,Where did the World Population Conference take place?
616,MEASURE,es,¿Cuál fue la extensión de los incendios forestales cerca de Sydney?
617,MEASURE,it,Quanto territorio fu interessato dagli incendi boschivi vicino a Sydney?
618,MEASURE,nl,Hoe groot is het gebied dat door de bosbranden bij Sydney werd verwoest?
619,MEASURE,en,How much territory was affected by the forest fires near Sydney?
620,MEASURE,es,¿Cuántos países pertenen al Espacio Económico Europeo?
621,MEASURE,it,Quanti paesi appartengono allo Spazio Economico Europeo?
622,MEASURE,nl,Hoeveel landen nemen deel in de Europese Economische Ruimte?
623,MEASURE,en,How many countries belong to the European Economic Area?
624,ORGANIZATION,es,¿Qué significan las siglas OMC?
625,ORGANIZATION,it,Che cosa significa la sigla WTO?
626,ORGANIZATION,nl,Waar staat de afkorting WTO voor?
627,ORGANIZATION,en,What do the initials WTO stand for?
628,OTHER,es,¿Por qué teoría se ha concedido el Premio Nobel de Economía?
629,OTHER,it,Qual è la teoria per la quale è stato assegnato il premio Nobel per l'economia?
630,OTHER,nl,Voor welke theorie is de Nobelprijs voor de Economie toegekend?
631,OTHER,en,What is the theory for which the Nobel Prize of Economy was awarded?
632,LOCATION,es,¿Dónde se hundió el Estonia?
633,LOCATION,it,"Dove affondò l' ""Estonia""?"
634,LOCATION,nl,Waar is de Estonia gezonken?
635,LOCATION,en,"Where did the ""Estonia"" sink?"
636,DATE,es,¿En qué año se hundió el Mar Egeo?
637,DATE,it,"In quale anno affondò l' ""Aegeum Sea""?"
638,DATE,nl,"In welk jaar zonk de ""Mar Egeo""?"
639,DATE,en,"What year did the ""Mar Egeo"" sink?"
640,ORGANIZATION,es,¿Qué país invadió Haití?
641,ORGANIZATION,it,Quale paese invase Haiti?
642,ORGANIZATION,nl,Welk land pleegde een invasie in Haïti?
643,ORGANIZATION,en,What country invaded Haiti?
644,OTHER,es,¿Qué fenómeno importante en el Pacífico Sur influye en el clima mundial?
645,OTHER,it,Quale importante fenomeno del Sud Pacifico influenza il clima mondiale?
646,OTHER,nl,Welk fenomeen in de Stille Oceaan beïnvloed het wereldklimaat?
647,OTHER,en,What important phenomenon of the South Pacific influences the global climate?
648,PERSON,es,¿Quién ganó el Tour?
649,PERSON,it,"Chi ha vinto il ""Tour de France""?"
650,PERSON,nl,Wie won de Ronde van Frankrijk?
651,PERSON,en,"Who won the ""Tour de France""?"
652,DATE,es,¿Cuándo comenzó el embargo sobre Irak?
653,DATE,it,Quando iniziò l'embargo all'Iraq?
654,DATE,nl,Wanneer begon het embargo tegen Irak?
655,DATE,en,When did the embargo on Irak begin?
656,PERSON,es,¿Qué presidente ruso ordenó la intervención en Chechenia?
657,PERSON,it,Quale presidente russo ordinò l'intervento in Cecenia?
658,PERSON,nl,Welke Russische president gaf opdracht tot de interventie in Tsjetsjenië?
659,PERSON,en,What Russian president ordered the intervention of Chechyna?
660,LOCATION,es,¿Dónde está Chiapas?
661,LOCATION,it,Dove si trova il Chiapas?
662,LOCATION,nl,Waar is Chiapas?
663,LOCATION,en,Where is Chiapas?
664,LOCATION,es,¿En qué ciudad se celebró la final del mundial de fútbol?
665,LOCATION,it,Quale città ha ospitato la finale della Coppa del Mondo di calcio?
666,LOCATION,nl,In welke stad vond de finale van het WK voetbal plaats?
667,LOCATION,en,What city hosted the final match of the World Football Championship?
668,MEASURE,es,¿Cuántos goles se marcaron en la final del mundial?
669,MEASURE,it,Quante reti vennero segnate nella finale della Coppa del Mondo di calcio?
670,MEASURE,nl,Hoeveel doelpunten vielen er tijden de finale van het WK voetbal?
671,MEASURE,en,How many goals were scored at the World Football Championship final?
672,OTHER,es,¿Cómo se llama la moneda china?
673,OTHER,it,Come si chiama la moneta nazionale cinese?
674,OTHER,nl,Hoe heet de Chinese munteenheid?
675,OTHER,en,What is the Chinese currency called?
676,LOCATION,es,¿En qué parte de Rusia se rompió un oleoducto?
677,LOCATION,it,In quale parte della Russia si ruppe un oleodotto?
678,LOCATION,nl,In welk deel van Rusland is een oliepijpleiding gebroken?
679,LOCATION,en,In what part of Russia did an oilpipe burst?
680,MEASURE,es,¿Qué magnitud tuvo el terremoto que sacudió el norte de Japón?
681,MEASURE,it,Che grado di magnitudo raggiunse il terremoto che colpì il Giappone settentrionale?
682,MEASURE,nl,Welke kracht had de aardbeving waardoor het noorden van Japan werd getroffen?
683,MEASURE,en,What was the extent of the earthquake that hit northern Japan?
684,PERSON,es,¿Qué presidente de Corea del Norte murió a los 82 años de edad?
685,PERSON,it,Quale presidente nordcoreano morì all'età di 82 anni?
686,PERSON,nl,Welke Noordkoreaanse president overleed op 82-jarige leeftijd?
687,PERSON,en,What North Korean president died at the age of 82?
688,LOCATION,es,¿Dónde se celebró la cumbre del G7?
689,LOCATION,it,Dove si tenne il vertice del G7?
690,LOCATION,nl,Waar vond de G7-top plaats?
691,LOCATION,en,Where was the G7 summit held?
692,DATE,es,¿Qué día se inauguró el Eurotunel?
693,DATE,it,In quale giorno venne inaugurato l'Eurotunnel?
694,DATE,nl,Op welke dag was de opening van de Eurotunnel?
695,DATE,en,What day was the Eurotunnel inaugurated?
696,MEASURE,es,¿Cuántas personas murieron en el juzgado de Euskirchen?
697,MEASURE,it,Quante persone morirono al tribunale di Euskirchen?
698,MEASURE,nl,Hoeveel doden vielen er in de rechtbank van Euskirchen?
699,MEASURE,en,How many people died at the court of Euskirchen?
700,LOCATION,es,¿Dónde está Euskirchen?
701,LOCATION,it,Dove si trova Euskirchen?
702,LOCATION,nl,Waar ligt Euskirchen?
703,LOCATION,en,Where is Euskirchen?
704,OTHER,es,"¿En qué festival se entregan los premios ""León de Oro""?"
705,OTHER,it,"A quale festival si consegna in premio il ""Leone d'Oro""?"
706,OTHER,nl,"Bij welk festival wordt de ""Gouden Leeuw"" uitgereikt?"
707,OTHER,en,"At what festival is the ""Leone d'Oro"" awarded?"
708,ORGANIZATION,es,¿Qué significan las siglas IRA?
709,ORGANIZATION,it,Che cosa significano le iniziali IRA?
710,ORGANIZATION,nl,Waar staat de afkorting IRA voor?
711,ORGANIZATION,en,What does the abbreviation IRA stand for?
712,ORGANIZATION,es,¿A que grupo pertenecía John Lennon?
713,ORGANIZATION,it,A quale gruppo apparteneva John Lennon?
714,ORGANIZATION,nl,Bij welke groep hoorde John Lennon?
715,ORGANIZATION,en,What group did John Lennon belong to?
716,LOCATION,es,¿A qué país se dirigían las ayudas del programa Turquesa?
717,LOCATION,it,"Quale paese ricevette aiuti nell'ambito dell' ""Operazione Turchese""?"
718,LOCATION,nl,"Welk land ontving hulp tijdens ""Operatie Turquoise""?"
719,LOCATION,en,"What country was the recipient of aid from ""Opération Turquoise""?"
720,LOCATION,es,"¿En qué país se llevó a cabo el ""Plan Real"" contra la inflación?"
721,LOCATION,it,"In quale paese venne messo in atto il ""Piano Real"" contro l'inflazione?"
722,LOCATION,nl,"In welk land werd het ""Plan Real"" ter bestrijding van de inflatie uitgevoerd?"
723,LOCATION,en,"In what country was the ""Real Plan"" against inflation carried out?"
724,OTHER,es,¿Cuál es el nombre técnico del mal de las vacas locas?
725,OTHER,it,"Qual è il nome tecnico per la ""malattia della mucca pazza""?"
726,OTHER,nl,"Wat is de technische naam voor ""gekke-koeienziekte""?"
727,OTHER,en,"What is the technical name for the ""mad cow disease""?"
728,LOCATION,es,¿A qué país pertenece el agente inmobiliario Schneider?
729,LOCATION,it,Da quale paese proviene l'agente immobiliare Schneider?
730,LOCATION,nl,Uit welk land komt de makelaar Schneider?
731,LOCATION,en,What country is the estate agent Schneider from?
732,ORGANIZATION,es,¿Qué país invadió Kuwait en 1990?
733,ORGANIZATION,it,Quale paese invase il Kuwait nel 1990?
734,ORGANIZATION,nl,Welk land pleegde een invasie in Koeweit in 1990?
735,ORGANIZATION,en,What country invaded Kuwait in 1990?
736,OTHER,es,¿De qué otra manera se conoce el proyecto EFA?
737,OTHER,it,Sotto quale altro nome è conosciuto il progetto EFA?
738,OTHER,nl,Onder welke naam is het EFA-project ook wel bekend?
739,OTHER,en,Under what other name is the EFA project also known?
740,OTHER,es,¿Qué premio Nobel ganó Solzhenitsin?
741,OTHER,it,Quale premio Nobel ha ricevuto Solzhenitsin?
742,OTHER,nl,Welke Nobelprijs kreeg Solzjenitsyn?
743,OTHER,en,What Nobel prize was Solzhenitsin awarded?
744,PERSON,es,¿Cómo se llama el hermano de Mika Kaurismäki?
745,PERSON,it,Come si chiama il fratello di Mika Kaurismäki?
746,PERSON,nl,Hoe heet de broer van Mika Kaurismaki?
747,PERSON,en,What is Mika Kaurismäki's brother's name?
748,PERSON,es,¿Quién es el primer ministro italiano?
749,PERSON,it,Chi è il Primo Ministro italiano?
750,PERSON,nl,Wie is de Italiaanse premier?
751,PERSON,en,Who is the Italian Prime Minister?
752,LOCATION,es,¿En qué ciudad se celebraron los Juegos Olímpicos de invierno?
753,LOCATION,it,Quale paese ha ospitato i Giochi Olimpici invernali?
754,LOCATION,nl,In welke stad werden de Olympische Winterspelen gehouden?
755,LOCATION,en,What country hosted the Winter Olympic Games?
756,DATE,es,¿En que año se declaró la secesión de Yemen del Sur?
757,DATE,it,In quale anno venne dichiarata la secessione dello Yemen del Sud?
758,DATE,nl,--- ---
759,DATE,en,What year was South Yemen's secession declared?
760,LOCATION,es,¿Dónde fue asesinado Kazem Radjavi?
761,LOCATION,it,Dove venne assassinato Kazem Radjavi?
762,LOCATION,nl,Waar werd Kazem Radjavi vermoord?
763,LOCATION,en,Where was Kazem Radjavi assassinated?
764,LOCATION,es,¿Cuál es la capital de Irán?
765,LOCATION,it,Qual è la capitale dell'Iran?
766,LOCATION,nl,Wat is de hoofdstad van Iran?
767,LOCATION,en,What is the capital of Iran?
768,OTHER,es,"¿Qué premio ganó la película ""Pulp Fiction"", dirigida por Quentin Tarantino, en el Festival de Cine de Cannes?"
769,OTHER,it,"Quale premio vinse il film del regista Quentin Tarantino ""Pulp Fiction"" al Festival del Cinema di Cannes?"
770,OTHER,nl,"Welke prijs won de film ""Pulp Fiction"" van regisseur Quentin Tarantino tijdens het Filmfestival van Cannes?"
771,OTHER,en,"What award did director Quentin Tarantino's film, ""Pulp Fiction"", win in the Cannes Film Festival?"
772,LOCATION,es,¿A qué país pertenecía el líder comunista Nayibulah?
773,LOCATION,it,Da quale paese veniva il leader comunista Najibullah?
774,LOCATION,nl,Uit welk land kwam de communistische leider Najibullah?
775,LOCATION,en,What country was the communist leader Najibullah from?
776,OTHER,es,¿Qué cargo ostentaba Rabbani al estallar la guerra civil de Afganistán en 1992?
777,OTHER,it,Quale carica ricopriva Rabbani quando la guerra civile scoppiò in Afghanistan nel 1992?
778,OTHER,nl,Welke functie bekleedde Rabbani toen de burgeroorlog uitbrak in Afghanistan in 1992?
779,OTHER,en,What office did Rabbani hold when the civil war broke out in Afghanistan in 1992?
780,MEASURE,es,¿Cuántas personas tienen derecho al voto en toda la UE para elegir un nuevo parlamento europeo?
781,MEASURE,it,"Quante persone, in tutta la UE, hanno diritto di voto per eleggere il nuovo Parlamento Europeo?"
782,MEASURE,nl,"Hoeveel mensen hadden het recht om te stemmen voor een nieuw Europees Parlement, in de EU?"
783,MEASURE,en,"In all of the EU, how many people have the right to vote for a new European Parliament?"
784,PERSON,es,¿Quién fue el primer comisario finlandés de la Unión Europea?
785,PERSON,it,Chi è stato il primo Commissario finlandese della UE?
786,PERSON,nl,Wie was de eerste Europese commissaris uit Finland?
787,PERSON,en,Who was the first Finnish Commissary of the EU?
788,LOCATION,es,¿A qué país pertenece Edouard Balladur?
789,LOCATION,it,Da quale paese proviene Edouard Balladur?
790,LOCATION,nl,Uit welk land komt Edouard Balladur?
791,LOCATION,en,What country is Edouard Balladur from?
792,LOCATION,es,¿En qué año murió Ayrton Senna?
793,LOCATION,it,In quale anno morì Ayrton Senna?
794,LOCATION,nl,--- ---
795,LOCATION,en,What year did Ayrton Senna die?
796,MEASURE,es,¿Cuántos campeonatos del mundo de Fórmula 1 ganó el piloto brasileño Ayrton Senna?
797,MEASURE,it,Quanti campionati mondiali di Formula 1 vinse il pilota brasiliano Ayrton Senna?
798,MEASURE,nl,Hoe vaak is de Braziliaanse coureur Ayrton Senna Formule wereldkampioen in de Formule 1 geweest?
799,MEASURE,en,How many Formula 1 championships did the Brazilian racing driver Ayrton Senna win?
800,PERSON,es,¿Cómo se llamaba el cantante y líder de Nirvana?
801,PERSON,it,Come si chiamava il cantante e leader dei Nirvana?
802,PERSON,nl,Hoe heette de zanger en leider van Nirvana?
803,PERSON,en,What was the name of the singer and head of Nirvana?
804,PERSON,es,¿Quién es el presidente de la Comisión Europea?
805,PERSON,it,Chi è il presidente della Commissione Europea?
806,PERSON,nl,Wie is de voorzitter van de Europese Commissie?
807,PERSON,en,Who is the president of the European Commission?
808,DATE,es,¿En qué año cayó el muro de Berlín?
809,DATE,it,In che anno venne abbattuto il Muro di Berlino?
810,DATE,nl,In welk jaar was de val van de Berlijnse Muur?
811,DATE,en,What year was the Berlin Wall torn down?
812,MEASURE,es,¿Cuántas cambios de moneda ha experimentado Brasil durante su historia?
813,MEASURE,it,Quanti cambiamenti di moneta nazionale ha subito il Brasile nel corso della sua storia?
814,MEASURE,nl,Hoe vaak is men in Brazilië van munteenheid veranderd?
815,MEASURE,en,How many currency changes has Brazil undergone throughout its history?
816,LOCATION,es,¿En qué ciudad está el parlamento europeo?
817,LOCATION,it,In quale città si trova il Parlamento Europeo?
818,LOCATION,nl,In welke stad is het Europese Parlement?
819,LOCATION,en,What city is the European Parliament in?
820,OTHER,es,¿En que lugar quedó Italia en el mundial de fútbol?
821,OTHER,it,In quale posizione si è classificata l'Italia ai Mondiali di calcio?
822,OTHER,nl,Op welke plaats eindige Italië tijdens het wereldkampioenschap voetbal?
823,OTHER,en,"At the World Football Championship, in what place did Italy finish?"
824,MEASURE,es,¿Cuántos países europeos formaban parte del G7?
825,MEASURE,it,Quanti paesi europei fanno parte del G7?
826,MEASURE,nl,Hoeveel Europese landen nemen deel in de G7?
827,MEASURE,en,How many European countries form part of the G7?
828,ORGANIZATION,es,¿Qué significan las siglas ETA?
829,ORGANIZATION,it,Per che cosa stanno le iniziali ETA?
830,ORGANIZATION,nl,Waar staat de afkorting ETA voor?
831,ORGANIZATION,en,What does the abbreviation ETA stand for?
832,PERSON,es,¿Quién es presidente del estado español?
833,PERSON,it,Chi è il presidente della Spagna?
834,PERSON,nl,Wie is de premier van Spanje?
835,PERSON,en,Who is the president of Spain?
836,DATE,es,¿En qué fecha se puso en órbita la estación espacial MIR?
837,DATE,it,Quale giorno la stazione spaziale MIR venne mandata in orbita?
838,DATE,nl,Wanneer werd het ruimtestation MIR in een baan om de aarde gebracht?
839,DATE,en,On what date was the MIR space station put into orbit?
840,DATE,es,¿Qué día del año se celebra el Día de la Constitución Española?
841,DATE,it,In quale giorno dell'anno si celebra la Costituzione spagnola?
842,DATE,nl,Op welke dag van het jaar wordt de Spaanse Grondwet gevierd?
843,DATE,en,On what day of the year is the Spanish Constitution honored?
844,PERSON,es,¿Quién fue la ganadora del torneo de Wimbledon?
845,PERSON,it,Chi ha vinto il torneo di Wimbledon?
846,PERSON,nl,Wie won Wimbledon?
847,PERSON,en,Who won the Wimbledon tournament?
848,PERSON,es,¿Qué país ganó la Copa Davis?
849,PERSON,it,Quale paese ha vinto la Coppa Davis?
850,PERSON,nl,Welk land veroverde de Davis Cup?
851,PERSON,en,What country won the Davis Cup?
852,OTHER,es,¿A qué marca pertenecían los alimentos para bebés en los que se encontraron pesticidas?
853,OTHER,it,In quale marca di alimenti per bambini vennero trovati dei pesticidi?
854,OTHER,nl,In welk merk babyvoedsel werden pesticiden gevonden?
855,OTHER,en,In what brand of baby food were pesticides found?
856,ORGANIZATION,es,¿Qué equipo ganó el torneo de la NBA?
857,ORGANIZATION,it,Quale squadra ha vinto il torneo dell'NBA?
858,ORGANIZATION,nl,Welk team won het NBA kampioenschap?
859,ORGANIZATION,en,What team won the NBA championship?
860,ORGANIZATION,es,¿Qué país retiró sus tropas de Bosnia?
861,ORGANIZATION,it,Quale paese ritirò le sue truppe dalla Bosnia?
862,ORGANIZATION,nl,Welk land trok zijn troepen terug uit Bosnië?
863,ORGANIZATION,en,What country withdrew its troops from Bosnia?
864,ORGANIZATION,es,¿Quién ganó la Final Four europea (Liga Europea) de baloncesto?
865,ORGANIZATION,it,Chi vinse il torneo europeo di pallacanestro Final Four?
866,ORGANIZATION,nl,Wie won de Final Four?
867,ORGANIZATION,en,Who won the European Final Four basketball tournament?
868,LOCATION,es,¿Cuál es el pico más alto de los Alpes?
869,LOCATION,it,Qual è la cima più alta delle Alpi?
870,LOCATION,nl,Wat is de hoogste berg van de Alpen?
871,LOCATION,en,What is the highest peak of the Alpes?
872,DATE,es,¿En qué año se retiraron las tropas rusas de Letonia?
873,DATE,it,In quale anno le truppe russe si ritirarono dalla Lettonia?
874,DATE,nl,--- ---
875,DATE,en,What year did the Russian troops withdraw from Latvia?
876,PERSON,es,¿Qué presidente ruso asistió a la reunión del G7 en Nápoles?
877,PERSON,it,Quale presidente russo partecipò al Vertice G7 a Napoli?
878,PERSON,nl,Welke Russische president woonde de G7-top in Napels bij?
879,PERSON,en,What Russian president attended the G7 meeting in Naples?
880,DATE,es,¿En qué fecha se celebró el referendum sobre la incorporación de Noruega a la UE?
881,DATE,it,Quale giorno si tenne il referendum sull'adesione della Norvegia alla UE?
882,DATE,nl,Op welke datum vond het Noorse referendum over toetreding tot de EU plaats?
883,DATE,en,On what date did the referendum concerning Norway's incorporation into the EU take place?
884,ORGANIZATION,es,¿Qué dos etnias están en conflicto en Ruanda?
885,ORGANIZATION,it,Quali due gruppi etnici sono in conflitto in Ruanda?
886,ORGANIZATION,nl,Welke twee etnische groepen zijn in conflict in Rwanda?
887,ORGANIZATION,en,What two ethnic groups are in conflict in Ruanda?
888,OTHER,es,"¿Con qué barco chocó el petrolero ""New World""?"
889,OTHER,it,"Con quale imbarcazione si scontrò la petroliera ""New World""?"
890,OTHER,nl,"Tegen welk schip botste de olietanker ""New World""?"
891,OTHER,en,"What ship did the oil tanker ""New World"" crash into?"
