,Unnamed: 0,class,language,question,pos,ner
455,455,PERSON,en,"Who was nicknamed ""The Desert Fox""?","['PRON', 'VERB', 'VERB', 'PUNCT', 'DET', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT']","['', '', '', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', '', '']"
456,456,ORGANIZATION,it,Con quale sigla si indica la Federazione Svizzera dei Ferrovieri?,"['ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'LOC', 'LOC', 'LOC', 'LOC', '']"
457,457,ORGANIZATION,es,¿Cuáles son las siglas de la Compañía Suiza de Ferrocarriles?,"['PUNCT', 'VERB', 'AUX', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PUNCT']","['', 'LOC', '', '', '', '', '', 'MISC', 'MISC', '', 'LOC', '']"
458,458,ORGANIZATION,nl,Wat is de afkorting voor de vakband van Zwitserse spoorwegmedewerkers?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', 'MISC', '', '']"
459,459,ORGANIZATION,en,Which abbreviation stands for the Swiss Railwaymen's Union?,"['DET', 'NOUN', 'VERB', 'ADP', 'DET', 'PROPN', 'PROPN', 'PART', 'PROPN', 'PUNCT']","['', '', '', '', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', '']"
460,460,LOCATION,it,Di quale nazione è presidente Eltsin?,"['ADP', 'DET', 'NOUN', 'VERB', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'PER', '']"
461,461,LOCATION,es,¿De qué país es presidente Yeltsin?,"['PUNCT', 'ADP', 'DET', 'NOUN', 'AUX', 'NOUN', 'PROPN', 'PUNCT']","['', 'MISC', 'MISC', 'MISC', '', '', 'PER', '']"
462,462,LOCATION,nl,Van welk land is Jeltsin president?,"['ADP', 'PRON', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'PUNCT']","['', '', '', '', 'PER', '', '']"
463,463,LOCATION,en,What country is Yeltsin president of?,"['PRON', 'NOUN', 'VERB', 'PROPN', 'NOUN', 'ADP', 'PUNCT']","['', '', '', 'PERSON', '', '', '']"
464,464,ORGANIZATION,it,Cosa significa la sigla ONU?,"['PRON', 'VERB', 'DET', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', 'ORG', '']"
465,465,ORGANIZATION,es,¿Qué significa el acrónimo ONU?,"['PUNCT', 'PRON', 'VERB', 'DET', 'ADJ', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', 'ORG', '']"
466,466,ORGANIZATION,nl,Waar staat de afkorting VN voor?,"['ADV', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADV', 'PUNCT']","['', '', '', '', 'ORG', '', '']"
467,467,ORGANIZATION,en,What does the abbreviation UN stand for?,"['PRON', 'VERB', 'DET', 'NOUN', 'PROPN', 'VERB', 'ADP', 'PUNCT']","['', '', '', '', 'ORG', '', '', '']"
468,468,PERSON,it,Qual è il nome di battesimo di Milosevic?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['LOC', '', '', '', '', '', '', 'PER', '']"
469,469,PERSON,es,¿Cuál es el nombre de pila de Milosevic?,"['PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', '', 'PER', '']"
470,470,PERSON,nl,Wat is de voornaam van Milosevic?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
471,471,PERSON,en,What is Milosevic's first name?,"['PRON', 'VERB', 'PROPN', 'PART', 'ADJ', 'NOUN', 'PUNCT']","['', '', 'PERSON', '', 'ORDINAL', '', '']"
472,472,DATE,it,In che anno è stato abbattuto il Muro di Berlino?,"['ADP', 'DET', 'NOUN', 'AUX', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', 'LOC', 'LOC', 'LOC', '']"
473,473,DATE,es,¿En qué año se derribó el muro de Berlín?,"['PUNCT', 'ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', 'MISC', 'MISC', 'MISC', '', '', '', '', '', 'MISC', 'MISC']"
474,474,DATE,nl,In welk jaar viel de Berlijnse Muur?,"['ADP', 'PRON', 'NOUN', 'VERB', 'DET', 'ADJ', 'X', 'PUNCT']","['', '', '', '', '', 'LOC', 'LOC', '']"
475,475,DATE,en,In which year was the Berlin Wall torn down?,"['ADP', 'DET', 'NOUN', 'VERB', 'DET', 'PROPN', 'PROPN', 'VERB', 'PART', 'PUNCT']","['', '', 'DATE', '', '', 'FAC', 'FAC', '', '', '']"
476,476,DATE,it,Quando è iniziata la Rivoluzione Francese?,"['ADV', 'AUX', 'VERB', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', 'ORG', 'ORG', '']"
477,477,DATE,es,¿Cuándo comenzó la Revolución Francesa?,"['PUNCT', 'PRON', 'VERB', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']"
478,478,DATE,nl,Wanneer begon de Franse Revolutie?,"['ADV', 'VERB', 'DET', 'ADJ', 'X', 'PUNCT']","['', '', '', 'MISC', 'MISC', '']"
479,479,DATE,en,When did the French Revolution start?,"['ADV', 'VERB', 'DET', 'PROPN', 'PROPN', 'NOUN', 'PUNCT']","['', '', 'EVENT', 'EVENT', 'EVENT', '', '']"
480,480,LOCATION,it,Qual è la capitale d'Irlanda?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['LOC', '', '', '', '', 'LOC', '']"
481,481,LOCATION,es,¿Cuál es la capital de Irlanda?,"['PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['LOC', 'LOC', '', '', '', '', 'LOC', '']"
482,482,LOCATION,nl,Wat is de hoofdstad van Ierland?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
483,483,LOCATION,en,What is the capital of Ireland?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', 'GPE', '']"
484,484,LOCATION,it,"Qual è la città santa per ebrei, cristiani e musulmani?","['PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'CONJ', 'NOUN', 'PUNCT']","['LOC', '', '', '', '', '', '', '', '', '', '', '']"
485,485,LOCATION,es,"¿Cuál es la ciudad santa para judíos, cristianos y musulmanes?","['PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'CONJ', 'NOUN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', '', '', '', '', '', '']"
486,486,LOCATION,nl,"Wat is de heilige stad voor joden, christenen en moslims?","['PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'CONJ', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '']"
487,487,LOCATION,en,"Which is the Holy City for Jews, Christians and Muslims?","['DET', 'VERB', 'DET', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT']","['', '', 'GPE', 'GPE', 'GPE', '', 'NORP', '', 'NORP', '', 'NORP', '']"
488,488,PERSON,it,Chi è l'allenatore della nazionale di calcio norvegese?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '', '', '', '']"
489,489,PERSON,es,¿Quién es el entrenador del equipo nacional de fútbol noruego?,"['PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT']","['PER', 'PER', '', '', '', '', '', '', '', '', '', '']"
490,490,PERSON,nl,Wie is de Noorse bondscoach?,"['PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', 'MISC', '', '']"
491,491,PERSON,en,Who is the coach of the Norwegian national football team?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']","['', '', '', '', '', '', 'NORP', '', '', '', '']"
492,492,MEASURE,it,Quanto è costato l'Eurotunnel?,"['PRON', 'AUX', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', 'MISC', '']"
493,493,MEASURE,es,¿Cuánto costó el Eurotúnel?,"['PUNCT', 'PROPN', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', 'LOC', '', '', 'LOC', '']"
494,494,MEASURE,nl,Hoeveel heeft de Eurotunnel gekost?,"['NUM', 'VERB', 'DET', 'NOUN', 'VERB', 'PUNCT']","['', '', '', 'ORG', '', '']"
495,495,MEASURE,en,How much did the Eurotunnel cost?,"['ADV', 'ADJ', 'VERB', 'DET', 'PROPN', 'NOUN', 'PUNCT']","['', '', '', '', 'PRODUCT', '', '']"
496,496,MEASURE,it,Quanto è lungo l'Eurotunnel?,"['PRON', 'VERB', 'ADJ', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', 'MISC', '']"
497,497,MEASURE,es,¿Qué longitud tiene el Eurotúnel?,"['PUNCT', 'DET', 'NOUN', 'VERB', 'DET', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', 'LOC', '']"
498,498,MEASURE,nl,Wat is de lengte van de Eurotunnel?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', 'LOC', '']"
499,499,MEASURE,en,How long is the Eurotunnel?,"['ADV', 'ADJ', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', 'PRODUCT', '']"
500,500,MEASURE,it,Quante furono le persone massacrate alle Fosse Ardeatine?,"['DET', 'VERB', 'DET', 'NOUN', 'VERB', 'NOUN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'LOC', 'LOC', '']"
501,501,MEASURE,es,¿Cuántas personas fueron masacradas en las Fosas Ardeatinas?,"['PUNCT', 'DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', 'MISC', 'MISC', '']"
502,502,MEASURE,nl,Hoeveel mensen werden doodgeschoten in de Fosse Ardeatine?,"['NUM', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'ADJ', 'X', 'PUNCT']","['', '', '', '', '', '', 'MISC', 'MISC', '']"
503,503,MEASURE,en,How many people were massacred at the Fosse Ardeatine?,"['ADV', 'ADJ', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '']"
504,504,OTHER,it,Quale film ha vinto il Leone d'Oro?,"['DET', 'NOUN', 'AUX', 'VERB', 'DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', 'MISC', 'MISC', 'MISC', '']"
505,505,OTHER,es,¿Qué película ganó el León de Oro?,"['PUNCT', 'DET', 'NOUN', 'VERB', 'DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', 'MISC', 'MISC', 'MISC', 'MISC']"
506,506,OTHER,nl,Welke film won de Gouden Leeuw?,"['PRON', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', 'MISC', 'MISC', '']"
507,507,OTHER,en,Which movie won the Golden Lion?,"['DET', 'NOUN', 'VERB', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', 'FAC', 'FAC', 'FAC', '']"
508,508,PERSON,it,A chi è stato assegnato il Leone d'Oro alla carriera?,"['ADP', 'PRON', 'AUX', 'AUX', 'VERB', 'DET', 'PROPN', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', '', '', '', 'MISC', 'MISC', 'MISC', '', '', '']"
509,509,PERSON,es,¿Quién fue premiado con el León de Oro a toda su carrera?,"['PUNCT', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'ADP', 'DET', 'DET', 'NOUN', 'PUNCT']","['PER', 'PER', '', '', '', '', 'MISC', 'MISC', 'MISC', '', '', '', '', '']"
510,510,PERSON,nl,Aan wie zijn de Gouden Leeuw oeuvreprijzen toegekend?,"['ADP', 'PRON', 'VERB', 'DET', 'NOUN', 'PROPN', 'NOUN', 'VERB', 'PUNCT']","['', '', '', '', 'MISC', 'MISC', '', '', '']"
511,511,PERSON,en,Who was awarded the Golden Lion for career achievement?,"['PRON', 'VERB', 'VERB', 'DET', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']","['', '', '', 'FAC', 'FAC', 'FAC', '', '', '', '']"
512,512,MEASURE,it,Quanti pianeti ci sono nel Sistema Solare?,"['DET', 'NOUN', 'PRON', 'VERB', 'ADV', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'LOC', 'LOC', '']"
513,513,MEASURE,es,¿Cuántos planetas hay en el Sistema Solar?,"['PUNCT', 'NOUN', 'ADJ', 'AUX', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', 'ORG', '', '', '', '', 'LOC', 'LOC', '']"
514,514,MEASURE,nl,Hoeveel planeten zijn er in het zonnestelsel?,"['NUM', 'NOUN', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '']"
515,515,MEASURE,en,How many planets are there in the Solar System?,"['ADV', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '']"
516,516,MEASURE,it,Quale temperatura c'è sul Sole?,"['DET', 'NOUN', 'PRON', 'VERB', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
517,517,MEASURE,es,¿Qué temperatura hay en la superficie del sol?,"['PUNCT', 'DET', 'NOUN', 'AUX', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', '', '', '']"
518,518,MEASURE,nl,Wat is de temperatuur op de oppervlakte van de zon?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '']"
519,519,MEASURE,en,What temperature is the surface of the Sun?,"['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', 'ORG', '']"
520,520,PERSON,it,Qual è il nome del primo uomo che arrivò sulla Luna?,"['PRON', 'VERB', 'DET', 'NOUN', 'DET', 'ADJ', 'NOUN', 'PRON', 'VERB', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', 'LOC', '']"
521,521,PERSON,es,¿Cómo se llama el primer hombre que pisó la Luna?,"['PUNCT', 'PRON', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'PRON', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', 'LOC', '', '', '', '', '', '', '', 'LOC', 'LOC', '']"
522,522,PERSON,nl,Hoe heet de eerste man op de maan?,"['ADV', 'VERB', 'DET', 'NUM', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '']"
523,523,PERSON,en,What is the name of the first man who landed on the Moon?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PRON', 'VERB', 'ADP', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'ORDINAL', '', '', '', '', '', 'PERSON', '']"
524,524,DATE,it,Quando è nato il Gruppo Islamico Armato?,"['ADV', 'AUX', 'VERB', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', 'ORG', 'ORG', 'ORG', '']"
525,525,DATE,es,¿Cuándo se creó el Grupo Armado Islámico?,"['PUNCT', 'PRON', 'PRON', 'VERB', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', 'ORG', 'ORG', 'ORG', '']"
526,526,DATE,nl,Wanneer is de Gewapende Islamitische Groep opgericht?,"['CONJ', 'VERB', 'DET', 'ADJ', 'X', 'X', 'VERB', 'PUNCT']","['', '', '', 'ORG', 'ORG', 'ORG', '', '']"
527,527,DATE,en,When was the Armed Islamic Group established?,"['ADV', 'VERB', 'DET', 'PROPN', 'PROPN', 'PROPN', 'VERB', 'PUNCT']","['', '', 'ORG', 'ORG', 'ORG', 'ORG', '', '']"
528,528,MEASURE,it,Quanti dipendenti ha l'Air France?,"['DET', 'NOUN', 'VERB', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', 'ORG', 'ORG', '']"
529,529,MEASURE,es,¿Cuántos empleados tiene Air France?,"['PUNCT', 'NOUN', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'PUNCT']","['', 'ORG', '', '', 'ORG', 'ORG', 'ORG']"
530,530,MEASURE,nl,Hoeveel werknmers heeft Air France?,"['NUM', 'NOUN', 'VERB', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', 'ORG', 'ORG', '']"
531,531,MEASURE,en,How many employees does Air France have?,"['ADV', 'ADJ', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'VERB', 'PUNCT']","['', '', '', '', 'ORG', 'ORG', '', '']"
532,532,MEASURE,it,Quanti abitanti ha Algeri?,"['DET', 'NOUN', 'VERB', 'PROPN', 'PUNCT']","['', '', '', 'LOC', '']"
533,533,MEASURE,es,¿Cuántos habitantes tiene Argel?,"['PUNCT', 'PROPN', 'NOUN', 'VERB', 'PROPN', 'PUNCT']","['', 'ORG', '', '', 'LOC', '']"
534,534,MEASURE,nl,Hoeveel inwoners heeft Algiers?,"['NUM', 'NOUN', 'VERB', 'NOUN', 'PUNCT']","['', '', '', 'LOC', '']"
535,535,MEASURE,en,How many inhabitants are there in Algiers?,"['ADV', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'GPE', '']"
536,536,LOCATION,it,Quale stato ha come capitale Algeri?,"['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
537,537,LOCATION,es,¿De qué país es capital Argel?,"['PUNCT', 'ADP', 'DET', 'NOUN', 'AUX', 'ADJ', 'PROPN', 'PUNCT']","['', 'MISC', 'MISC', 'MISC', '', '', 'LOC', '']"
538,538,LOCATION,nl,Algiers is de hoofdstad van welk land?,"['NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'PRON', 'NOUN', 'PUNCT']","['LOC', '', '', '', '', '', '', '']"
539,539,LOCATION,en,Of which country is Algiers the capital?,"['ADP', 'DET', 'NOUN', 'VERB', 'PROPN', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', 'NORP', '', '', '']"
540,540,ORGANIZATION,it,Chi ha vinto lo scudetto?,"['PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '']"
541,541,ORGANIZATION,es,¿Qué equipo de fútbol ha ganado la liga italiana?,"['PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADJ', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', '', '', '', '']"
542,542,ORGANIZATION,nl,Welke voetbalploeg is kampioen van Italië?,"['PRON', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
543,543,ORGANIZATION,en,Which football team won the Italian national championship?,"['DET', 'NOUN', 'NOUN', 'VERB', 'DET', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', '', '', 'NORP', '', '', '']"
544,544,PERSON,it,Chi è il presidente della Roma?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'PROPN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
545,545,PERSON,es,¿Quién es el presidente del equipo de futbol de la Roma?,"['PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', '', '', '', '', 'LOC', '']"
546,546,PERSON,nl,Wie is de voorzitter van de voetbalploeg Roma?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', 'ORG', '']"
547,547,PERSON,en,Who is the President of the Roma football team?,"['PRON', 'VERB', 'DET', 'PROPN', 'ADP', 'DET', 'PROPN', 'NOUN', 'NOUN', 'PUNCT']","['', '', '', '', '', '', 'GPE', '', '', '']"
548,548,LOCATION,it,In quale città si trova lo stadio Delle Alpi?,"['ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'LOC', 'LOC', 'LOC', '']"
549,549,LOCATION,es,¿En qué ciudad está el estadio Delle Alpi?,"['PUNCT', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'PROPN', 'PROPN', 'PUNCT']","['', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', '']"
550,550,LOCATION,nl,In welke stad is het Delle Alpi-stadion?,"['ADP', 'PRON', 'NOUN', 'VERB', 'DET', 'ADJ', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT']","['', '', '', '', '', 'LOC', 'LOC', '', '', '']"
551,551,LOCATION,en,In which city is the Delle Alpi stadium?,"['ADP', 'DET', 'NOUN', 'VERB', 'DET', 'PROPN', 'PROPN', 'NOUN', 'PUNCT']","['', '', '', '', '', 'LOC', 'LOC', '', '']"
552,552,PERSON,it,Come si chiama il primo ministro francese?,"['ADV', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '', '']"
553,553,PERSON,es,¿Cómo se llama el primer ministro francés?,"['PUNCT', 'PRON', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADJ', 'PUNCT']","['', 'LOC', '', '', '', '', '', '', '']"
554,554,PERSON,nl,Hoe heet de Franse premier?,"['ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', 'MISC', '', '']"
555,555,PERSON,en,What is the name of the French Prime Minister?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'NORP', '', '', '']"
556,556,ORGANIZATION,it,In che partito milita Silvio Berlusconi?,"['ADP', 'DET', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', 'PER', 'PER', '']"
557,557,ORGANIZATION,es,¿A qué partido pertenece Silvio Berlusconi?,"['PUNCT', 'ADP', 'DET', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', 'PER', 'PER', '']"
558,558,ORGANIZATION,nl,Bij welke politieke partij hoort Silvio Berlusconi?,"['ADP', 'PRON', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'PER', 'PER', '']"
559,559,ORGANIZATION,en,What party is Silvio Berlusconi in?,"['DET', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'ADP', 'PUNCT']","['', '', '', 'PERSON', 'PERSON', '', '']"
560,560,ORGANIZATION,it,In che partito milita Fassino?,"['ADP', 'DET', 'NOUN', 'ADJ', 'PROPN', 'PUNCT']","['', '', '', '', 'PER', '']"
561,561,ORGANIZATION,es,¿A qué partido pertenece Fassino?,"['PUNCT', 'ADP', 'DET', 'NOUN', 'VERB', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', 'PER', '']"
562,562,ORGANIZATION,nl,Bij welke politieke partij hoort Fassino?,"['ADP', 'PRON', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'PUNCT']","['', '', '', '', '', 'MISC', '']"
563,563,ORGANIZATION,en,What party is Fassino in?,"['DET', 'NOUN', 'VERB', 'PROPN', 'PART', 'PUNCT']","['', '', '', 'NORP', '', '']"
564,564,PERSON,it,Chi è la moglie di John Lennon?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'PER', 'PER', '']"
565,565,PERSON,es,¿Quién es la mujer de John Lennon?,"['PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","['PER', 'PER', '', '', '', '', 'PER', 'PER', '']"
566,566,PERSON,nl,Wie is de vrouw van John Lennon?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'PER', 'PER', '']"
567,567,PERSON,en,Who is John Lennon's wife?,"['PRON', 'VERB', 'PROPN', 'PROPN', 'PART', 'NOUN', 'PUNCT']","['', '', 'PERSON', 'PERSON', 'PERSON', '', '']"
568,568,PERSON,it,A chi è andata la Coppa Volpi per la miglior interpretazione maschile?,"['ADP', 'PRON', 'AUX', 'VERB', 'DET', 'PROPN', 'PROPN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADJ', 'PUNCT']","['', '', '', '', '', 'MISC', 'MISC', '', '', '', '', '', '']"
569,569,PERSON,es,¿Quién fue premiado con la Copa Volpi al mejor actor?,"['PUNCT', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'PROPN', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']","['PER', 'PER', '', '', '', '', 'MISC', 'MISC', '', '', '', '']"
570,570,PERSON,nl,Aan wie werd Coppa Volpi voor de beste mannelijke hoofdrol toegekend?,"['ADP', 'PRON', 'VERB', 'NOUN', 'PROPN', 'ADP', 'DET', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'PUNCT']","['', '', '', 'PER', 'PER', '', '', '', '', '', '', '']"
571,571,PERSON,en,Who was awarded the Coppa Volpi for the best male performance?,"['PRON', 'VERB', 'VERB', 'DET', 'PROPN', 'PROPN', 'ADP', 'DET', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', 'ORG', 'ORG', 'ORG', '', '', '', '', '', '']"
572,572,DATE,it,In che mese è stato inaugurato l'Eurotunnel?,"['ADP', 'DET', 'NOUN', 'AUX', 'AUX', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', 'MISC', '']"
573,573,DATE,es,¿En qué mes se inauguró el Eurotúnel?,"['PUNCT', 'ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', '', 'LOC', '']"
